63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),116126
64,Two if by Sea (1996),118002
65,Bio-Dome (1996),115683
66,Lawnmower Man 2: Beyond Cyberspace (1996),116839
67,Two Bits (1995),114753
68,French Twist (Gazon maudit) (1995),113149
69,Friday (1995),113118
70,From Dusk Till Dawn (1996),116367
71,Fair Game (1995),113010
72,Kicking and Screaming (1995),113537
73,"Misérables, Les (1995)",113828
74,Bed of Roses (1996),115644
75,Big Bully (1996),115676
76,Screamers (1995),114367
77,Nico Icon (1995),113973
78,"Crossing Guard, The (1995)",112744
79,"Juror, The (1996)",116731
80,"White Balloon, The (Badkonake sefid) (1995)",112445
81,Things to Do in Denver When You're Dead (1995),114660
82,Antonia's Line (Antonia) (1995),112379
83,Once Upon a Time... When We Were Colored (1995),114039
84,Last Summer in the Hamptons (1995),113612
85,Angels and Insects (1995),112365
86,White Squall (1996),118158
87,Dunston Checks In (1996),116151
88,Black Sheep (1996),115697
89,Nick of Time (1995),113972
90,The Journey of August King (1995),113490
92,Mary Reilly (1996),117002
93,Vampire in Brooklyn (1995),114825
94,Beautiful Girls (1996),115639
95,Broken Arrow (1996),115759
96,In the Bleak Midwinter (1995),113403
97,"Hate (Haine, La) (1995)",113247
98,Shopping (1994),111173
99,Heidi Fleiss: Hollywood Madam (1995),113283
100,City Hall (1996),115907
101,Bottle Rocket (1996),115734
102,Mr. Wrong (1996),117102
103,Unforgettable (1996),118040
104,Happy Gilmore (1996),116483
105,"Bridges of Madison County, The (1995)",112579
106,Nobody Loves Me (Keiner liebt mich) (1994),110251
107,Muppet Treasure Island (1996),117110
108,Catwalk (1996),112646
109,Headless Body in Topless Bar (1995),113276
110,Braveheart (1995),112573
111,Taxi Driver (1976),75314
112,Rumble in the Bronx (Hont faan kui) (1995),113326
113,Before and After (1996),115645
114,Margaret's Museum (1995),113774
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",112556
116,Anne Frank Remembered (1995),112373
117,"Young Poisoner's Handbook, The (1995)",115033
118,If Lucy Fell (1996),116606
119,"Steal Big, Steal Little (1995)",114536
120,Race the Sun (1996),117427
121,"Boys of St. Vincent, The (1992)",106473
122,Boomerang (1992),103859
123,Chungking Express (Chung Hing sam lam) (1994),109424
124,"Star Maker, The (Uomo delle stelle, L') (1995)",114808
125,Flirting With Disaster (1996),116324
126,"NeverEnding Story III, The (1994)",110647
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",111055
128,Jupiter's Wife (1994),110217
129,Pie in the Sky (1996),114131
130,Angela (1995),112364
131,Frankie Starlight (1995),113107
132,Jade (1995),113451
133,Nueba Yol (1995),114015
134,Sonic Outlaws (1995),114500
135,Down Periscope (1996),116130
136,From the Journals of Jean Seberg (1995),113125
137,Man of the Year (1995),113756
138,"Neon Bible, The (1995)",113952
139,Target (1995),114618
140,Up Close and Personal (1996),118055
141,"Birdcage, The (1996)",115685
142,Shadows (Cienie) (1988),94878
143,Gospa (1995),113200
144,"Brothers McMullen, The (1995)",112585
145,Bad Boys (1995),112442
146,"Amazing Panda Adventure, The (1995)",112342
147,"Basketball Diaries, The (1995)",112461
148,"Awfully Big Adventure, An (1995)",112427
149,Amateur (1994),109093
150,Apollo 13 (1995),112384
151,Rob Roy (1995),114287
152,"Addiction, The (1995)",112288
153,Batman Forever (1995),112462
154,Beauty of the Day (Belle de jour) (1967),61395
155,Beyond Rangoon (1995),112495
156,Blue in the Face (1995),112541
157,Canadian Bacon (1995),109370
158,Casper (1995),112642
159,Clockers (1995),112688
160,Congo (1995),112715
161,Crimson Tide (1995),112740
162,Crumb (1994),109508
163,Desperado (1995),112851
164,Devil in a Blue Dress (1995),112857
165,Die Hard: With a Vengeance (1995),112864
166,"Doom Generation, The (1995)",112887
167,Feast of July (1995),113044
168,First Knight (1995),113071
169,Free Willy 2: The Adventure Home (1995),113114
170,Hackers (1995),113243
171,Jeffrey (1995),113464
172,Johnny Mnemonic (1995),113481
173,Judge Dredd (1995),113492
174,Jury Duty (1995),113500
175,Kids (1995),113540
176,Living in Oblivion (1995),113677
177,Lord of Illusions (1995),113690
178,Love & Human Remains (1993),107447
179,Mad Love (1995),113729
180,Mallrats (1995),113749
181,Mighty Morphin Power Rangers: The Movie (1995),113820
182,Moonlight and Valentino (1995),113851
183,Mute Witness (1994),110604
184,Nadja (1994),110620
185,"Net, The (1995)",113957
186,Nine Months (1995),113986
187,Party Girl (1995),114095
188,"Prophecy, The (1995)",114194
189,Reckless (1995),114241
190,Safe (1995),114323
191,"Scarlet Letter, The (1995)",114345
192,The Show (1995),114435
193,Showgirls (1995),114436
194,Smoke (1995),114478
195,Something to Talk About (1995),114496
196,Species (1995),114508
197,"Stars Fell on Henrietta, The (1995)",114534
198,Strange Days (1995),114558
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",58450
200,"Tie That Binds, The (1995)",114666
201,Three Wishes (1995),114663
202,Total Eclipse (1995),114702
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",114682
204,Under Siege 2: Dark Territory (1995),114781
205,Unstrung Heroes (1995),114798
206,Unzipped (1995),114805
207,"Walk in the Clouds, A (1995)",114887
208,Waterworld (1995),114898
209,White Man's Burden (1995),114928
210,Wild Bill (1995),114938
211,"Browning Version, The (1994)",109340
212,Bushwhacked (1995),112602
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),111579
214,Before the Rain (Pred dozhdot) (1994),110882
215,Before Sunrise (1995),112471
216,Billy Madison (1995),112508
217,"Babysitter, The (1995)",112438
218,Boys on the Side (1995),112571
219,"Cure, The (1995)",112757
220,Castle Freak (1995),112643
222,Circle of Friends (1995),112679
223,Clerks (1994),109445
224,Don Juan DeMarco (1995),112883
225,Disclosure (1994),109635
226,Dream Man (1995),112899
227,Drop Zone (1994),109676
228,Destiny Turns on the Radio (1995),112854
229,Death and the Maiden (1994),109579
230,Dolores Claiborne (1995),109642
231,Dumb & Dumber (Dumb and Dumber) (1994),109686
232,Eat Drink Man Woman (Yin shi nan nu) (1994),111797
233,Exotica (1994),109759
234,Exit to Eden (1994),109758
235,Ed Wood (1994),109707
236,French Kiss (1995),113117
237,Forget Paris (1995),113097
238,Far From Home: The Adventures of Yellow Dog (1995),113028
239,"Goofy Movie, A (1995)",113198
240,Hideaway (1995),113303
241,Fluke (1995),113089
242,Farinelli: il castrato (1994),109771
243,Gordy (1995),113199
244,Gumby: The Movie (1995),113234
245,The Glass Shield (1994),109906
246,Hoop Dreams (1994),110057
247,Heavenly Creatures (1994),110005
248,Houseguest (1994),110066
249,Immortal Beloved (1994),110116
250,Heavyweights (Heavy Weights) (1995),110006
251,"Hunted, The (1995)",113360
252,I.Q. (1994),110099
253,Interview with the Vampire: The Vampire Chronicles (1994),110148
254,Jefferson in Paris (1995),113463
255,"Jerky Boys, The (1995)",110189
256,Junior (1994),110216
257,Just Cause (1995),113501
258,"Kid in King Arthur's Court, A (1995)",113538
259,Kiss of Death (1995),113552
260,Star Wars: Episode IV - A New Hope (1977),76759
261,Little Women (1994),110367
262,"Little Princess, A (1995)",113670
263,Ladybird Ladybird (1994),110296
264,"Enfer, L' (1994)",109731
265,Like Water for Chocolate (Como agua para chocolate) (1992),103994
266,Legends of the Fall (1994),110322
267,Major Payne (1995),110443
268,Little Odessa (1994),110365
269,My Crazy Life (Mi vida loca) (1993),107566
270,Love Affair (1994),110391
271,Losing Isaiah (1995),113691
272,"Madness of King George, The (1994)",110428
273,Mary Shelley's Frankenstein (Frankenstein) (1994),109836
274,Man of the House (1995),113755
275,Mixed Nuts (1994),110538
276,Milk Money (1994),110516
277,Miracle on 34th Street (1994),110527
278,Miami Rhapsody (1995),113808
279,My Family (1995),113896
280,Murder in the First (1995),113870
281,Nobody's Fool (1994),110684
282,Nell (1994),110638
283,New Jersey Drive (1995),113967
284,New York Cop (Nyû Yôku no koppu) (1993),117169
285,Beyond Bedlam (1993),106402
286,Nemesis 2: Nebula (1995),113948
287,Nina Takes a Lover (1994),110671
288,Natural Born Killers (1994),110632
289,Only You (1994),110737
290,Once Were Warriors (1994),110729
292,Outbreak (1995),114069
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),110413
294,"Perez Family, The (1995)",114113
295,"Pyromaniac's Love Story, A (1995)",114210
296,Pulp Fiction (1994),110912
297,Panther (1995),114084
298,Pushing Hands (Tui shou) (1992),105652
299,Priest (1994),110889
300,Quiz Show (1994),110932
301,Picture Bride (Bijo photo) (1994),114129
302,"Queen Margot (Reine Margot, La) (1994)",110963
303,"Quick and the Dead, The (1995)",114214
304,Roommates (1995),114296
305,Ready to Wear (Pret-A-Porter) (1994),110907
306,Three Colors: Red (Trois couleurs: Rouge) (1994),111495
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),108394
308,Three Colors: White (Trzy kolory: Bialy) (1994),111507
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",110769
310,Rent-a-Kid (1995),114268
311,Relative Fear (1994),110965
312,Stuart Saves His Family (1995),114571
313,"Swan Princess, The (1994)",111333
314,"Secret of Roan Inish, The (1994)",111112
315,"Specialist, The (1994)",111255
316,Stargate (1994),111282
317,"Santa Clause, The (1994)",111070
318,"Shawshank Redemption, The (1994)",111161
319,Shallow Grave (1994),111149
320,Suture (1993),108260
321,Strawberry and Chocolate (Fresa y chocolate) (1993),106966
322,Swimming with Sharks (1995),114594
324,"Sum of Us, The (1994)",111309
325,National Lampoon's Senior Trip (1995),113936
326,To Live (Huozhe) (1994),110081
327,Tank Girl (1995),114614
328,Tales from the Crypt Presents: Demon Knight (1995),114608
329,Star Trek: Generations (1994),111280
330,Tales from the Hood (1995),114609
331,Tom & Viv (1994),111454
332,Village of the Damned (1995),114852
333,Tommy Boy (1995),114694
334,Vanya on 42nd Street (1994),111590
335,Underneath (1995),114788
336,"Walking Dead, The (1995)",114888
337,What's Eating Gilbert Grape (1993),108550
338,Virtuosity (1995),114857
339,While You Were Sleeping (1995),114924
340,"War, The (1994)",111667
341,Double Happiness (1994),109655
342,Muriel's Wedding (1994),110598
343,"Baby-Sitters Club, The (1995)",112435
344,Ace Ventura: Pet Detective (1994),109040
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",109045
346,Backbeat (1993),106339
347,Bitter Moon (1992),104779
348,Bullets Over Broadway (1994),109348
349,Clear and Present Danger (1994),109444
350,"Client, The (1994)",109446
351,"Corrina, Corrina (1994)",109484
352,Crooklyn (1994),109504
353,"Crow, The (1994)",109506
354,Cobb (1994),109450
355,"Flintstones, The (1994)",109813
356,Forrest Gump (1994),109830
357,Four Weddings and a Funeral (1994),109831
358,Higher Learning (1995),113305
359,I Like It Like That (1994),110091
360,I Love Trouble (1994),110093
361,It Could Happen to You (1994),110167
362,"Jungle Book, The (1994)",110213
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",107472
364,"Lion King, The (1994)",110357
365,Little Buddha (1993),107426
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",111686
367,"Mask, The (1994)",110475
368,Maverick (1994),110478
369,Mrs. Parker and the Vicious Circle (1994),110588
370,Naked Gun 33 1/3: The Final Insult (1994),110622
371,"Paper, The (1994)",110771
372,Reality Bites (1994),110950
373,Red Rock West (1992),105226
374,Richie Rich (1994),110989
375,Safe Passage (1994),111054
376,"River Wild, The (1994)",110997
377,Speed (1994),111257
378,Speechless (1994),111256
379,Timecop (1994),111438
380,True Lies (1994),111503
381,When a Man Loves a Woman (1994),111693
382,Wolf (1994),111742
383,Wyatt Earp (1994),111756
384,Bad Company (1995),112443
385,"Man of No Importance, A (1994)",110455
386,S.F.W. (1994),111048
387,"Low Down Dirty Shame, A (1994)",110399
388,Boys Life (1995),112570
389,"Colonel Chabert, Le (1994)",109454
390,Faster Pussycat! Kill! Kill! (1965),59170
391,Jason's Lyric (1994),110186
392,"Secret Adventures of Tom Thumb, The (1993)",108069
393,Street Fighter (1994),111301
394,Coldblooded (1995),112702
395,Desert Winds (1995),112849
396,Fall Time (1995),113014
397,"Fear, The (1995)",113043
398,Frank and Ollie (1995),113104
399,Girl in the Cadillac (1995),113173
400,Homage (1995),113319
401,Mirage (1995),113827
402,Open Season (1996),114047
403,Two Crimes (Dos crímenes) (1995),112889
404,Brother Minister: The Assassination of Malcolm X (1994),109339
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),110027
406,Federal Hill (1994),109785
407,In the Mouth of Madness (1995),113409
408,8 Seconds (1994),109021
409,Above the Rim (1994),109035
410,Addams Family Values (1993),106220
411,Martin Lawrence: You So Crazy (1994),111804
412,"Age of Innocence, The (1993)",106226
413,Airheads (1994),109068
414,"Air Up There, The (1994)",109067
415,Another Stakeout (1993),106292
416,Bad Girls (1994),109198
417,Barcelona (1994),109219
418,Being Human (1993),106379
419,"Beverly Hillbillies, The (1993)",106400
420,Beverly Hills Cop III (1994),109254
421,Black Beauty (1994),109279
422,Blink (1994),109297
423,Blown Away (1994),109303
424,Blue Chips (1994),109305
425,Blue Sky (1994),109306
426,Body Snatchers (1993),106452
427,Boxing Helena (1993),106471
428,"Bronx Tale, A (1993)",106489
429,Cabin Boy (1994),109361
430,Calendar Girl (1993),106505
431,Carlito's Way (1993),106519
432,City Slickers II: The Legend of Curly's Gold (1994),109439
433,Clean Slate (1994),109443
434,Cliffhanger (1993),106582
435,Coneheads (1993),106598
436,Color of Night (1994),109456
437,Cops and Robbersons (1994),109480
438,"Cowboy Way, The (1994)",109493
439,Dangerous Game (1993),106660
440,Dave (1993),106673
441,Dazed and Confused (1993),106677
442,Demolition Man (1993),106697
443,"Endless Summer 2, The (1994)",109729
444,Even Cowgirls Get the Blues (1993),106834
445,Fatal Instinct (1993),106873
446,Farewell My Concubine (Ba wang bie ji) (1993),106332
447,"Favor, The (1994)",109783
448,Fearless (1993),106881
449,Fear of a Black Hat (1994),106880
450,With Honors (1994),111732
451,Flesh and Bone (1993),106926
452,Widows' Peak (1994),111712
453,For Love or Money (1993),106941
454,"Firm, The (1993)",106918
455,Free Willy (1993),106965
456,Fresh (1994),109842
457,"Fugitive, The (1993)",106977
458,Geronimo: An American Legend (1993),107004
459,"Getaway, The (1994)",109890
460,Getting Even with Dad (1994),109891
461,Go Fish (1994),109913
462,"Good Man in Africa, A (1994)",109920
463,Guilty as Sin (1993),107057
464,Hard Target (1993),107076
465,Heaven & Earth (1993),107096
466,Hot Shots! Part Deux (1993),107144
467,Live Nude Girls (1995),113674
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",112966
469,"House of the Spirits, The (1993)",107151
470,House Party 3 (1994),110064
471,"Hudsucker Proxy, The (1994)",110074
472,I'll Do Anything (1994),110097
473,In the Army Now (1994),110123
474,In the Line of Fire (1993),107206
475,In the Name of the Father (1993),107207
476,"Inkwell, The (1994)",110137
477,What's Love Got to Do with It? (1993),108551
478,Jimmy Hollywood (1994),110197
479,Judgment Night (1993),107286
480,Jurassic Park (1993),107290
481,Kalifornia (1993),107302
482,Killing Zoe (1994),110265
483,King of the Hill (1993),107322
484,Lassie (1994),110305
485,Last Action Hero (1993),107362
486,Life with Mikey (1993),107413
487,Lightning Jack (1994),110353
488,M. Butterfly (1993),107468
489,Made in America (1993),107478
490,Malice (1993),107497
491,"Man Without a Face, The (1993)",107501
492,Manhattan Murder Mystery (1993),107507
493,Menace II Society (1993),107554
494,Executive Decision (1996),116253
495,In the Realm of the Senses (Ai no corrida) (1976),74102
496,What Happened Was... (1994),111689
497,Much Ado About Nothing (1993),107616
498,Mr. Jones (1993),107611
499,Mr. Wonderful (1993),107613
500,Mrs. Doubtfire (1993),107614
501,Naked (1993),107653
502,"Next Karate Kid, The (1994)",110657
503,"New Age, The (1994)",110649
504,No Escape (1994),110678
505,North (1994),110687
506,Orlando (1992),107756
507,"Perfect World, A (1993)",107808
508,Philadelphia (1993),107818
509,"Piano, The (1993)",107822
510,Poetic Justice (1993),107840
511,"Program, The (1993)",107889
512,"Puppet Masters, The (1994)",111003
513,Radioland Murders (1994),110939
514,"Ref, The (1994)",110955
515,"Remains of the Day, The (1993)",107943
516,Renaissance Man (1994),110971
517,Rising Sun (1993),107969
518,"Road to Wellville, The (1994)",111001
519,RoboCop 3 (1993),107978
520,Robin Hood: Men in Tights (1993),107977
521,Romeo Is Bleeding (1993),107983
522,Romper Stomper (1992),105275
523,Ruby in Paradise (1993),108000
524,Rudy (1993),108002
525,"Saint of Fort Washington, The (1993)",108026
526,"Savage Nights (Nuits fauves, Les) (1992)",105032
527,Schindler's List (1993),108052
528,"Scout, The (1994)",111094
529,Searching for Bobby Fischer (1993),108065
530,Second Best (1994),111102
531,"Secret Garden, The (1993)",108071
532,Serial Mom (1994),111127
533,"Shadow, The (1994)",111143
534,Shadowlands (1993),108101
535,Short Cuts (1993),108122
536,"Simple Twist of Fate, A (1994)",111194
537,Sirens (1994),111201
538,Six Degrees of Separation (1993),108149
539,Sleepless in Seattle (1993),108160
540,Sliver (1993),108162
541,Blade Runner (1982),83658
542,Son in Law (1993),108186
543,So I Married an Axe Murderer (1993),108174
544,Striking Distance (1993),108238
546,Super Mario Bros. (1993),108255
547,Surviving the Game (1994),111323
548,Terminal Velocity (1994),111400
549,Thirty-Two Short Films About Glenn Gould (1993),108328
550,Threesome (1994),111418
551,"Nightmare Before Christmas, The (1993)",107688
552,"Three Musketeers, The (1993)",108333
553,Tombstone (1993),108358
554,Trial by Jury (1994),111488
555,True Romance (1993),108399
556,"War Room, The (1993)",108515
558,"Pagemaster, The (1994)",110763
559,"Paris, France (1993)",107779
560,"Beans of Egypt, Maine, The (1994)",109226
561,Killer (Bulletproof Heart) (1994),110259
562,Welcome to the Dollhouse (1995),114906
563,Germinal (1993),107002
564,Chasers (1994),109403
565,Cronos (1993),104029
566,Naked in New York (1994),110623
567,Kika (1993),107315
568,Bhaji on the Beach (1993),106408
569,Little Big League (1994),110363
570,"Slingshot, The (Kådisbellan) (1993)",107349
571,"Wedding Gift, The (1994)",111709
572,Foreign Student (1994),109828
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",107225
574,Spanking the Monkey (1994),111252
575,"Little Rascals, The (1994)",110366
576,Fausto (1993),106878
577,Andre (1994),109120
579,"Escort, The (Scorta, La) (1993)",108059
580,Princess Caraboo (1994),110892
581,"Celluloid Closet, The (1995)",112651
582,Métisse (Café au Lait) (1993),107642
583,Dear Diary (Caro Diario) (1994),109382
584,I Don't Want to Talk About It (De eso no se habla) (1993),106678
585,"Brady Bunch Movie, The (1995)",112572
586,Home Alone (1990),99785
587,Ghost (1990),99653
588,Aladdin (1992),103639
589,Terminator 2: Judgment Day (1991),103064
590,Dances with Wolves (1990),99348
591,Tough and Deadly (1995),114706
592,Batman (1989),96895
593,"Silence of the Lambs, The (1991)",102926
594,Snow White and the Seven Dwarfs (1937),29583
595,Beauty and the Beast (1991),101414
596,Pinocchio (1940),32910
597,Pretty Woman (1990),100405
598,Window to Paris (Okno v Parizh) (1994),110719
599,"Wild Bunch, The (1969)",65214
600,Love and a .45 (1994),110395
601,"Wooden Man's Bride, The (Yan shen) (1994)",111752
602,"Great Day in Harlem, A (1994)",109934
603,"Bye Bye, Love (1995)",112606
604,Criminals (1996),115978
605,One Fine Day (1996),117247
606,Candyman: Farewell to the Flesh (1995),112625
607,Century (1993),106537
608,Fargo (1996),116282
609,Homeward Bound II: Lost in San Francisco (1996),116552
610,Heavy Metal (1981),82509
611,Hellraiser: Bloodline (1996),116514
612,"Pallbearer, The (1996)",117283
613,Jane Eyre (1996),116684
614,Loaded (1994),110374
615,Bread and Chocolate (Pane e cioccolata) (1973),70506
616,"Aristocats, The (1970)",65421
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",113083
618,Two Much (1995),118001
619,Ed (1996),116165
620,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),102855
621,My Favorite Season (1993),107471
623,"Modern Affair, A (1995)",113839
625,Asfour Stah (1990),90665
626,"Thin Line Between Love and Hate, A (1996)",117891
627,"Last Supper, The (1995)",113613
628,Primal Fear (1996),117381
629,Rude (1995),114305
630,Carried Away (1996),115837
631,All Dogs Go to Heaven 2 (1996),115509
632,Land and Freedom (Tierra y libertad) (1995),114671
633,Denise Calls Up (1995),112844
634,Theodore Rex (1995),114658
635,"Family Thing, A (1996)",116275
636,Frisk (1995),113122
637,Sgt. Bilko (1996),117608
638,Jack and Sarah (1995),113448
639,Girl 6 (1996),116414
640,Diabolique (1996),116095
641,"Little Indian, Big City (Un indien dans la ville) (1994)",111543
642,Roula (1995),117517
643,Peanuts - Die Bank zahlt alles (1996),117312
644,Happy Weekend (1996),116485
645,Nelly & Monsieur Arnaud (1995),113947
647,Courage Under Fire (1996),115956
648,Mission: Impossible (1996),117060
649,Cold Fever (Á köldum klaka) (1995),109028
650,Moll Flanders (1996),117071
651,"Superweib, Das (1996)",117788
652,"301, 302 (301/302) (1995)",112257
653,Dragonheart (1996),116136
654,And Nobody Weeps for Me (Und keiner weint mir nach) (1996),118026
655,My Mother's Courage (Mutters Courage) (1995),117117
656,Eddie (1996),116168
657,Yankee Zulu (1994),111787
658,Billy's Holiday (1995),112509
659,Purple Noon (Plein soleil) (1960),54189
660,August (1996),115591
661,James and the Giant Peach (1996),116683
662,Fear (1996),116287
663,Kids in the Hall: Brain Candy (1996),116768
664,Faithful (1996),116269
665,Underground (1995),114787
666,All Things Fair (Lust och fägring stor) (1995),113720
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),112536
668,Song of the Little Road (Pather Panchali) (1955),48473
670,"World of Apu, The (Apur Sansar) (1959)",52572
671,Mystery Science Theater 3000: The Movie (1996),117128
672,Tarantella (1995),114616
673,Space Jam (1996),117705
674,Barbarella (1968),62711
675,Hostile Intentions (1994),110061
676,They Bite (1996),140614
678,Some Folks Call It a Sling Blade (1993),108181
679,"Run of the Country, The (1995)",114307
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",58898
681,Coup de torchon (Clean Slate) (1981),82206
682,Tigrero: A Film That Was Never Made (1994),111430
683,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",107727
684,Windows (1980),81759
685,It's My Party (1996),113443
687,Country Life (1994),109491
688,Operation Dumbo Drop (1995),114048
690,"Promise, The (Versprechen, Das) (1995)",111613
691,Mrs. Winterbourne (1996),117104
692,Solo (1996),117688
693,Under the Domim Tree (Etz Hadomim Tafus) (1994),109751
694,"Substitute, The (1996)",117774
695,True Crime (1996),114736
696,Butterfly Kiss (1995),112604
697,Feeling Minnesota (1996),116289
698,Delta of Venus (1995),109593
699,To Cross the Rubicon (1991),103095
700,Angus (1995),112368
701,Daens (1992),104046
702,Faces (1968),62952
703,Boys (1996),115742
704,"Quest, The (1996)",117420
705,Cosi (1996),115951
706,Sunset Park (1996),117784
707,Mulholland Falls (1996),117107
708,"Truth About Cats & Dogs, The (1996)",117979
709,Oliver & Company (1988),95776
710,Celtic Pride (1996),115851
711,Flipper (1996),116322
712,Captives (1994),109374
713,Of Love and Shadows (1994),110712
714,Dead Man (1995),112817
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",113362
716,Switchblade Sisters (1975),73778
717,Mouth to Mouth (Boca a boca) (1995),112546
718,"Visitors, The (Visiteurs, Les) (1993)",108500
719,Multiplicity (1996),117108
720,Wallace & Gromit: The Best of Aardman Animation (1996),118114
721,Halfmoon (Paul Bowles - Halbmond) (1995),114103
722,"Haunted World of Edward D. Wood Jr., The (1996)",113270
723,Two Friends (1986),92123
724,"Craft, The (1996)",115963
725,"Great White Hype, The (1996)",116448
726,Last Dance (1996),116827
727,War Stories (1995),114894
728,Cold Comfort Farm (1995),112701
729,"Institute Benjamenta, or This Dream People Call Human Life (1995)",113429
730,Low Life (1994),125877
731,Heaven's Prisoners (1996),116508
732,Original Gangstas (1996),117260
733,"Rock, The (1996)",117500
734,Getting Away With Murder (1996),116405
735,Cemetery Man (Dellamorte Dellamore) (1994),109592
736,Twister (1996),117998
737,Barb Wire (1996),115624
738,"Garçu, Le (1995)",113145
739,Honey Moon (Honigmond) (1996),116559
741,Ghost in the Shell (Kôkaku kidôtai) (1995),113568
742,Thinner (1996),117894
743,Spy Hard (1996),117723
744,Brothers in Trouble (1995),112586
745,Wallace & Gromit: A Close Shave (1995),112691
746,Force of Evil (1948),40366
747,"Stupids, The (1996)",117768
748,"Arrival, The (1996)",115571
749,"Man from Down Under, The (1943)",31612
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),57012
751,Careful (1992),103926
752,Vermont Is For Lovers (1992),105737
753,"Month by the Lake, A (1995)",113849
754,Gold Diggers: The Secret of Bear Mountain (1995),113188
755,Kim (1950),42644
756,Carmen Miranda: Bananas Is My Business (1994),109381
757,Ashes of Time (Dung che sai duk) (1994),109688
758,"Jar, The (Khomreh) (1992)",104606
759,Maya Lin: A Strong Clear Vision (1994),110480
760,Stalingrad (1993),108211
761,"Phantom, The (1996)",117331
762,Striptease (1996),117765
763,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",116833
764,Heavy (1995),113280
765,Jack (1996),116669
766,I Shot Andy Warhol (1996),116594
767,"Grass Harp, The (1995)",113211
768,Someone Else's America (1995),114494
769,Marlene Dietrich: Shadow and Light (1996),116992
770,Costa Brava (1946),38426
771,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)",94265
772,Quartier Mozart (1992),105201
773,Touki Bouki (1973),70820
774,Wend Kuuni (a.k.a. God's Gift) (1982),84898
775,Spirits of the Dead (1968),63715
